date,state,parlimen,dun,sex,age,ethnicity,population
1/1/2021,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,noncitizen,1.6
1/1/2021,Kedah,P.004 Langkawi,N.02 Kuah,female,overall,overall,24.5
1/1/2021,Kedah,P.004 Langkawi,N.02 Kuah,male,overall,overall,25.6
1/1/2022,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,overall,50.5
1/1/2022,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,citizen,49
1/1/2022,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,noncitizen,1.5
1/1/2022,Kedah,P.004 Langkawi,N.02 Kuah,female,overall,overall,24.7
1/1/2022,Kedah,P.004 Langkawi,N.02 Kuah,male,overall,overall,25.8
1/1/2020,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,overall,32.057
1/1/2020,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,citizen,31.625
1/1/2020,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,noncitizen,0.432
1/1/2020,Kedah,P.005 Jerlun,N.03 Kota Siputeh,female,overall,overall,16.182
1/1/2020,Kedah,P.005 Jerlun,N.03 Kota Siputeh,male,overall,overall,15.875
1/1/2021,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,overall,32.4
1/1/2021,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,citizen,32
1/1/2021,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,noncitizen,0.4
1/1/2021,Kedah,P.005 Jerlun,N.03 Kota Siputeh,female,overall,overall,16.4
1/1/2021,Kedah,P.005 Jerlun,N.03 Kota Siputeh,male,overall,overall,16
1/1/2022,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,overall,32.7
1/1/2022,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,citizen,32.299
1/1/2022,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,noncitizen,0.4
1/1/2022,Kedah,P.005 Jerlun,N.03 Kota Siputeh,female,overall,overall,16.5
1/1/2022,Kedah,P.005 Jerlun,N.03 Kota Siputeh,male,overall,overall,16.1
1/1/2020,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,overall,34.029
1/1/2020,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,citizen,33.782
1/1/2020,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,noncitizen,0.247
1/1/2020,Kedah,P.005 Jerlun,N.04 Ayer Hitam,female,overall,overall,17.127
1/1/2020,Kedah,P.005 Jerlun,N.04 Ayer Hitam,male,overall,overall,16.902
1/1/2021,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,overall,34.4
1/1/2021,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,citizen,34.1
1/1/2021,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,noncitizen,0.2
1/1/2021,Kedah,P.005 Jerlun,N.04 Ayer Hitam,female,overall,overall,17.3
1/1/2021,Kedah,P.005 Jerlun,N.04 Ayer Hitam,male,overall,overall,17
1/1/2022,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,overall,34.7
1/1/2022,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,citizen,34.4
1/1/2022,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,noncitizen,0.2
1/1/2022,Kedah,P.005 Jerlun,N.04 Ayer Hitam,female,overall,overall,17.5
1/1/2022,Kedah,P.005 Jerlun,N.04 Ayer Hitam,male,overall,overall,17.2
1/1/2020,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,overall,76.577
1/1/2020,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,citizen,72.567
1/1/2020,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,noncitizen,4.01
1/1/2020,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,female,overall,overall,39.645
1/1/2020,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,male,overall,overall,36.932
1/1/2021,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,overall,77.3
1/1/2021,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,citizen,73.5
1/1/2021,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,noncitizen,3.8
1/1/2021,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,female,overall,overall,40.1
1/1/2021,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,male,overall,overall,37.2
1/1/2022,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,overall,78
